address,allocation
0x9ca99A0ECA91F87405f74aF2530E15c66d9b86F7,0
,0
,0
0x552B76F29F0b6f5bdDC2e5AD6c0256Bf5A7b5406,0
,0
,0
0x1787A94AfdeC95F864e78117d10ec2553D803242,0
,0
,0
0x7C32c7649aA1335271aF00cd4280f87166474778,0
0xf44f002D6826FF0b123C1D3d4183525648b49e3a,0
,0
,0
,0
,0
,0
0x7742aeb560006abc683b1e79d92f5ad4757ab35c,1500000
,0
,0
,0
,0
,0
0xd9d9747Ec7F6127F470B5f408440d44F5bBDADc2,1125000
,0
0x445ADf0B8FCCc4FE634488B3A47360c105F8bF1e,115500
,0
0x00b4b949C1A0a5Cd31848A0769CB082e382e6351,237500
,0
,0
,0
,0
,0
,0
,0
0x9C5dDEe8862DA24528AcC2BD6A585f669132518f,1012500
0x90144dC24F00E7d8cdfeD1C8fa479c4Ce88cF0fe,96705
,0
,0

0x052207609036CbD09B051650A9CdaC8564E5E0FA,365400
,0
,0
,0
,0
,0
,0
,0
0x662a80DD9B873913CFdeEF75F771159A6782F3D8,450000
,0
,0
,0
,0
,0
